台泥,1101 	
聚陽,1477 	
榮成,1909 	
豐興,2015 	
光寶科,2301 	
金寶,2312 	
仁寶,2324 	
矽品,2325 	
智邦,2345 	
聯強,2347 	
英業達,2356 	
華碩,2357 	
技嘉,2376 	
微星,2377 	
廣達,2382 	
群光,2385 	
友達,2409 	
京元電子,2449
創見,2451 	
興富發,2542 	
陽明,2609 	
開發金,2883 	
兆豐金,2886 	
聯詠,3034 	
緯創,3231 	
群創,3481 	
大聯大,3702 	
和碩,4938 	
鎧勝-KY,5264 	
瑞儀,6176 	
力成,6239 
南茂,8150 
中鼎,9933 
